FECHA;COSTO;REGISTRO
2019-03-15;DINERO_EN_CAJA;33530
2019-03-15;FIJOS;25263
2019-03-15;INSUMOS;0
2019-03-15;MOVILIDAD;22604
2019-02-28;COMISIONES_PABLO;25793
2019-02-28;DINERO_EN_CAJA;3945
2019-02-28;FIJOS;25273
2019-02-28;INSUMOS;195
2019-02-28;MOVILIDAD;32870
2019-02-15;COMISIONES_PABLO;39836
2019-02-15;DINERO_EN_CAJA;14465
2019-02-15;FIJOS;25273
2019-02-15;INSUMOS;2755
2019-02-15;MOVILIDAD;35646
2019-01-31;COMISIONES_PABLO;7783
2019-01-31;DINERO_EN_CAJA;3215
2019-01-31;FIJOS;27471
2019-01-31;INSUMOS;750
2019-01-31;MOVILIDAD;49436
2019-01-22;COMISIONES_PABLO;0
2019-01-22;DINERO_EN_CAJA;0
2019-01-22;FIJOS;0
2019-01-22;INSUMOS;0
2019-01-22;MOVILIDAD;0
2019-01-15;COMISIONES_PABLO;28285
2019-01-15;DINERO_EN_CAJA;129040
2019-01-15;FIJOS;27101
2019-01-15;INSUMOS;0
2019-01-15;MOVILIDAD;2631
2018-12-31;COMISIONES_PABLO;22925
2018-12-31;DINERO_EN_CAJA;86465
2018-12-31;FIJOS;30946
2018-12-31;INSUMOS;80
2018-12-31;MOVILIDAD;27527
2018-11-30;COMISIONES_PABLO;22830
2018-11-30;DINERO_EN_CAJA;80040
2018-11-30;FIJOS;43302
2018-11-30;INSUMOS;665
2018-11-30;MOVILIDAD;25202
2018-11-15;COMISIONES_PABLO;36001
2018-11-15;DINERO_EN_CAJA;20570
2018-11-15;FIJOS;16152
2018-11-15;INSUMOS;1200
2018-11-15;MOVILIDAD;35881
2018-10-31;COMISIONES_PABLO;18370
2018-10-31;DINERO_EN_CAJA;25060
2018-10-31;FIJOS;15947
2018-10-31;INSUMOS;405
2018-10-31;MOVILIDAD;23937
2018-10-15;COMISIONES_PABLO;35026
2018-10-15;DINERO_EN_CAJA;2550
2018-10-15;FIJOS;15947
2018-10-15;INSUMOS;1835
2018-10-15;MOVILIDAD;38988
