OPFECHA;REFERENCIA;SPFECHA;DEBE;HABER
2019-09-13;13-09;2019-09-13;17130;0
2019-09-12;151;2019-09-12;0;292635,04
2019-09-07;0709;2019-09-07;59888,88;0
2019-09-07;070919;2019-09-07;0;59888,88
2019-09-06;41352;2019-09-03;96727,18;0
2019-09-06;41354;2019-09-03;42714,42;0
2019-09-06;41368;2019-09-04;80086,46;0
2019-09-06;41370;2019-09-04;63886,18;0
2019-09-06;41353;2019-09-03;175521,2;0
2019-09-06;41367;2019-09-04;21347,24;0
2019-09-06;41369;2019-09-04;90742,05;0
2019-09-06;41371;2019-09-04;2349,87;0
2019-09-05;050919;2019-09-05;0;126045,4
2019-08-29;150;2019-08-29;0;170000
2019-08-25;2308;2019-08-22;556,8;0
2019-08-25;2408;2019-08-25;0;23752,8
2019-08-24;2904;2019-08-22;126045,4;0
2019-08-22;41235;2019-08-20;77001,67;0
2019-08-22;41237;2019-08-20;88529,75;0
2019-08-22;149;2019-08-22;0;424163,12
2019-08-22;41236;2019-08-20;99118,29;0
2019-08-22;41238;2019-08-20;28913,51;0
2019-08-18;190819;2019-08-18;0;107415
2019-08-15;41175/1;2019-08-07;42613,76;0
2019-08-14;1408;2019-08-14;49959,36;0
2019-08-14;140819;2019-08-14;0;49959,36
2019-08-10;41176;2019-08-07;138631,1;0
2019-08-10;41175;2019-08-07;46802,38;0
2019-08-10;41177;2019-08-07;157070,3;0
2019-08-02;148;2019-08-02;0;185000
2019-07-31;410;2019-07-31;11755;0
2019-07-31;310719;2019-07-31;0;11755
2019-07-30;2870;2019-07-30;107415;0
2019-07-30;2907;2019-07-29;23196;0
2019-07-25;250719;2019-07-25;0;142343,8
2019-07-25;190719;2019-07-25;0;36050,64
2019-07-20;1046;2019-07-19;36050,64;0
2019-07-18;41018;2019-07-10;174118,2;0
2019-07-18;41020;2019-07-10;89707,21;0
2019-07-18;41061;2019-07-16;69817,09;0
2019-07-18;147;2019-07-18;0;214999,58
2019-07-18;41019;2019-07-10;135885,3;0
2019-07-18;41021;2019-07-10;47191,16;0
2019-07-18;41062;2019-07-16;3023,424;0
2019-07-15;030719;2019-07-15;0;13248
2019-07-11;146;2019-07-11;0;185441,34
2019-07-10;18947;2019-07-03;13248;0
2019-07-03;145;2019-07-03;0;180000
2019-06-28;110619;2019-06-28;0;62745,6
2019-06-28;1106;2019-06-25;62745,6;0
2019-06-28;39978;2019-06-21;19244,4;0
2019-06-25;144;2019-06-25;0;150000
2019-06-21;39911;2019-06-11;36911,04;0
2019-06-21;39912;2019-06-11;44815,44;0
2019-06-20;2793;2019-06-13;142343,8;0
2019-06-13;100619;2019-06-13;0;9792
2019-06-13;1006;2019-06-10;9792;0
2019-06-11;143;2019-06-11;0;153569,06
2019-06-09;100619;2019-06-09;0;147058,4
2019-06-04;142;2019-06-04;0;355303,23
2019-06-02;2905;2019-05-29;36580;0
2019-06-02;290519;2019-06-02;0;36580
2019-05-30;39802;2019-05-24;93166,91;0
2019-05-30;39804;2019-05-24;116824;0
2019-05-30;39809;2019-05-24;87606,33;0
2019-05-30;39803;2019-05-24;130025,2;0
2019-05-30;39805;2019-05-24;57267,99;0
2019-05-30;39810;2019-05-24;399,6432;0
2019-05-27;2705;2019-05-27;9450;0
2019-05-27;270519;2019-05-27;0;9450
2019-05-24;2405;2019-05-24;38304;0
2019-05-24;240519;2019-05-24;0;38304
2019-05-19;39757;2019-05-15;16741,12;0
2019-05-19;39759;2019-05-15;34944,77;0
2019-05-19;39761;2019-05-15;13418,53;0
2019-05-19;1705;2019-05-17;4080;0
2019-05-19;39758;2019-05-15;56703,94;0
2019-05-19;39760;2019-05-15;22371,25;0
2019-05-19;141;2019-05-19;0;100000
2019-05-19;170519;2019-05-19;0;4080
2019-05-13;090519;2019-05-13;0;36480
2019-05-13;0905;2019-05-09;36480;0
2019-05-13;090419;2019-05-13;0;52713,6
2019-05-10;2737;2019-05-09;147058,4;0
2019-05-09;39583;2019-05-09;-4595,1;0
2019-05-09;140;2019-05-09;0;200000
2019-05-09;39583/1;2019-05-09;1491,97;0
2019-05-09;39704;2019-05-09;-3011,42;0
2019-05-07;39672;2019-05-06;81684,88;0
2019-05-07;39674;2019-05-06;65342,1;0
2019-05-07;39676;2019-05-06;60721,94;0
2019-05-07;39673;2019-05-06;21760,67;0
2019-05-07;39675;2019-05-06;86914,56;0
2019-05-07;39677;2019-05-06;47098,74;0
2019-05-05;0305;2019-05-05;43120;0
2019-05-05;030519;2019-05-05;0;43120
2019-05-01;300419;2019-05-01;0;97557,6
2019-04-25;139;2019-04-25;0;150000
2019-04-14;39551;2019-04-11;59224,43;0
2019-04-14;39553;2019-04-11;110090,9;0
2019-04-14;39555;2019-04-11;103204,06;0
2019-04-14;39550;2019-04-11;87354,15;0
2019-04-14;39552;2019-04-11;45686,34;0
2019-04-14;39554;2019-04-11;58195,17;0
2019-04-14;39556;2019-04-11;28532,1;0
2019-04-11;39529;2019-04-08;44523,81;0
2019-04-11;138;2019-04-11;0;350000
2019-04-11;110419;2019-04-11;52713,6;0
2019-04-08;39515;2019-04-05;26844,35;0
2019-03-29;2669;2019-03-27;25094,16;0
2019-03-29;2668;2019-03-27;72463,44;0
2019-03-28;137;2019-03-28;0;227573,8
2019-03-28;290319;2019-03-28;0;49028,7
2019-03-22;39367;2019-03-15;22957,56;0
2019-03-17;180319;2019-03-17;0;14860,8
2019-03-15;119;2019-02-27;49028,7;0
2019-03-14;136;2019-03-14;0;230000
2019-03-11;39279;2019-03-01;86929,01;0
2019-03-11;39281;2019-03-01;49686,28;0
2019-03-11;39283;2019-03-01;77097,14;0
2019-03-11;39280;2019-03-01;70772,01;0
2019-03-11;39282;2019-03-01;80367,12;0
2019-03-01;39272;2019-02-28;-3497,748;0
2019-03-01;39260;2019-02-27;22159,99;0
2019-03-01;39273;2019-02-28;3246,7;0
2019-02-28;135;2019-02-28;0;350294,17
2019-02-28;18515;2019-02-25;14860,8;0
2019-02-27;170219;2019-02-27;0;19113,6
2019-02-27;1702;2019-02-17;19113,6;0
2019-02-25;250219;2019-02-25;0;13824
2019-02-23;39213;2019-02-21;129949;0
2019-02-23;39212;2019-02-21;46564,72;0
2019-02-23;39214;2019-02-21;112886,7;0
2019-02-20;18483;2019-02-18;13824;0
2019-02-14;39110;2019-02-11;108669,6;0
2019-02-14;39112;2019-02-11;72382,55;0
2019-02-14;39114;2019-02-11;46301,4;0
2019-02-14;0702;2019-02-07;36159,2;0
2019-02-14;134;2019-02-14;0;349668,52
2019-02-14;39109;2019-02-11;38871,6;0
2019-02-14;39111;2019-02-11;60466,27;0
2019-02-14;39113;2019-02-11;134227,3;0
2019-02-14;39115;2019-02-11;23602,68;0
2019-02-14;070219;2019-02-14;0;36159,2
2019-02-14;39133;2019-02-13;12037,18;0
2019-02-09;080219;2019-02-09;0;30946,8
2019-02-09;0802;2019-02-08;30946,8;0
2019-02-07;133;2019-02-07;0;210692
2019-01-26;38951;2019-01-22;54844,4;0
2019-01-26;38956;2019-01-23;172650,6;0
2019-01-26;38950;2019-01-22;41379,56;0
2019-01-26;38955;2019-01-23;30103,74;0
2019-01-26;38957;2019-01-23;27546,42;0
2019-01-24;132;2019-01-24;0;149301,9
2019-01-17;38895;2019-01-16;68782,2;0
2019-01-17;38894;2019-01-16;72437,36;0
2019-01-17;38896;2019-01-16;23143,81;0
2019-01-10;38797;2018-12-26;-392,544;0
2019-01-10;38799;2018-12-26;-1065,297;0
2019-01-10;281218;2019-01-10;0;6518,4
2019-01-10;131;2019-01-10;0;402617,41
2019-01-10;38798;2018-12-26;6391,785;0
2019-01-10;2812;2018-12-28;6518,4;0
2018-12-31;38820;2018-12-27;21882,65;0
2018-12-31;38819;2018-12-27;47589,95;0
2018-12-27;281218;2018-12-27;0;19905
2018-12-27;2712;2018-12-27;19905;0
2018-12-19;38750;2018-12-14;64983,08;0
2018-12-19;38752;2018-12-14;15169,59;0
2018-12-19;38762;2018-12-17;41045,9;0
2018-12-19;130;2018-12-19;0;300000
2018-12-19;38749;2018-12-14;66011,66;0
2018-12-19;38751;2018-12-14;71622,69;0
2018-12-19;38761;2018-12-17;42495,44;0
2018-12-19;38763;2018-12-17;45657,16;0
2018-12-14;141218;2018-12-14;0;65766,9
2018-12-06;129;2018-12-06;0;217276,37
2018-12-05;50002484;2018-12-04;65766,9;0
2018-12-05;38632;2018-11-30;120830,5;0
2018-12-05;38634;2018-11-30;36785,61;0
2018-12-05;38631;2018-11-30;67524,76;0
2018-12-05;38633;2018-11-30;54166,47;0
2018-11-22;128;2018-11-22;0;140000
2018-11-17;38523;2018-11-16;103333,5;0
2018-11-17;38525;2018-11-16;61821,09;0
2018-11-17;38527;2018-11-16;43190,25;0
2018-11-17;38529;2018-11-16;36831,48;0
2018-11-17;38524;2018-11-16;72440,08;0
2018-11-17;38526;2018-11-16;13790,54;0
2018-11-17;38528;2018-11-16;43258,34;0
2018-11-15;127;2018-11-15;0;299997,16
2018-11-13;131118;2018-11-13;0;21278,4
2018-11-13;1311;2018-11-13;21278,4;0
2018-11-09;38459;2018-11-06;32029,22;0
2018-11-09;38472;2018-11-08;43723,97;0
2018-11-09;126;2018-11-09;0;315000
2018-11-09;38470;2018-11-08;1065,297;0
2018-11-06;38426;2018-11-01;76954,4;0
2018-11-06;38428;2018-11-01;73534,66;0
2018-11-06;38427;2018-11-01;130451,2;0
2018-11-02;194;2018-11-02;23323,08;0
2018-11-02;021118;2018-11-02;0;23323,08
2018-10-19;38270/1;2018-10-09;4095,264;0
2018-10-19;38306;2018-10-12;11718,27;0
2018-10-19;38319;2018-10-16;-4002;0
2018-10-19;38320;2018-10-16;3752,02;0
2018-10-19;1910;2018-10-19;0;37039,2
2018-10-19;38318;2018-10-16;2871;0
2018-10-19;38321;2018-10-16;-7457,083;0
2018-10-19;125;2018-10-19;0;370000
2018-10-19;1210;2018-10-12;37039,2;0
2018-10-19;191018;2018-10-19;0;48046,14
2018-10-17;1710;2018-10-17;18945;0
2018-10-17;091018;2018-10-09;48046,14;0
2018-10-17;171018;2018-10-17;0;18945
2018-10-12;38271;2018-10-09;74661,72;0
2018-10-12;38273;2018-10-09;48350,14;0
2018-10-12;38270;2018-10-09;56351,06;0
2018-10-12;38263;2018-10-09;10384,18;0
2018-10-12;38272;2018-10-09;111856;0
2018-10-12;38274;2018-10-09;7584,799;0
2018-10-09;38221;2018-10-01;5516,218;0
2018-10-09;38223;2018-10-01;103811,5;0
2018-10-09;38226;2018-10-02;19201,71;0
2018-10-09;38220;2018-10-01;41021,75;0
2018-10-09;38222;2018-10-01;55503,68;0
2018-10-09;38224;2018-10-01;42958,72;0
2018-10-05;051018;2018-10-05;0;45601,32
