ACTUAL;MONTO;CLIENTE;REMITO;FECHA
UTIL;0;yrigoyen paz;167;2017-08-12
UTIL;0;solano tx2;168;2017-08-12
UTIL;0;josecpaz tx2;169;2017-08-12
UTIL;0;big store;170;2017-08-12
UTIL;0;san wilde tx2;171;2017-08-12
UTIL;0;mercedes tx2;189;2017-08-14
UTIL;0;lynmartin tx2;190;2017-08-14
UTIL;0;urquiza tx2;191;2017-08-14
UTIL;0;libreria stockler;192;2017-08-14
UTIL;0;beiro 4285 tx2;204;2017-08-15
UTIL;0;mariano tx2;205;2017-08-15
UTIL;0;san juan tx2;207;2017-08-15
UTIL;0;congreso tx2;208;2017-08-15
UTIL;0;rivadavia 2379 tx2;209;2017-08-15
UTIL;0;corrientes 2 tx2;210;2017-08-15
UTIL;0;alsina tx2;216;2017-08-16
UTIL;0;guardia nacional tx2;217;2017-08-16
UTIL;0;moron tx2;218;2017-08-16
UTIL;0;merlo libertador;219;2017-08-16
UTIL;0;diego santa fe;220;2017-08-16
UTIL;0;xeng tx2;221;2017-08-16
UTIL;0;merlo tx2;222;2017-08-16
UTIL;0;merlo moreno;223;2017-08-16
UTIL;0;liniers tx2;224;2017-08-16
UTIL;0;no existe mas - alem grande tx2;227;2017-08-16
UTIL;0;carrillo tx2;233;2017-08-16
UTIL;0;el jaguel tx2;244;2017-08-17
UTIL;0;moron belgrano tx2;245;2017-08-17
UTIL;0;perfumeria triunvirato;246;2017-08-17
UTIL;0;avellaneda tx2;247;2017-08-17
UTIL;0;mitre avellaneda tx2;248;2017-08-17
UTIL;0;multiprecio tx2;249;2017-08-17
UTIL;0;domingo peron tx2;253;2017-08-18
UTIL;0;adpompeya tx2;254;2017-08-18
UTIL;0;franco tx2;255;2017-08-18
UTIL;0;peron 3513 tx2;256;2017-08-18
UTIL;0;alberdi tx2;257;2017-08-18
UTIL;0;mataderos tx2;258;2017-08-18
UTIL;0;achupallas tx2;259;2017-08-19
UTIL;0;mosconi tx2;260;2017-08-19
UTIL;0;san wilde tx2;261;2017-08-19
UTIL;0;9 de julio tx2;263;2017-08-19
UTIL;0;3 de febrero tx2;264;2017-08-21
UTIL;0;lomas tx2;265;2017-08-21
UTIL;0;ezeiza tx2;266;2017-08-21
UTIL;0;vicente grande tx2;267;2017-08-21
UTIL;0;pacheco tx2;286;2017-08-22
UTIL;0;rodriguez tx2;287;2017-08-22
UTIL;0;pilar miguel tx2;288;2017-08-22
UTIL;0;martelo tx2;289;2017-08-22
UTIL;0;san isidro tx2;290;2017-08-22
UTIL;0;mitre san martin tx2;291;2017-08-22
UTIL;0;san martin tx2;292;2017-08-22
UTIL;0;san jose tx2;293;2017-08-22
UTIL;0;galicia tx2;294;2017-08-22
UTIL;0;lanus tx2;295;2017-08-22
UTIL;0;glew tx2;296;2017-08-22
UTIL;0;laoeste tx2;297;2017-08-22
UTIL;0;balbin tx2;298;2017-08-22
UTIL;0;san fernando tx2;299;2017-08-23
UTIL;0;pilar tx2;300;2017-08-23
UTIL;0;CASA CAMI;302;2017-08-23
UTIL;0;san nicolas arroyos;309;2017-08-23
UTIL;0;avelez tx2;310;2017-08-23
UTIL;0;crovara 1423 tx2;319;2017-08-24
UTIL;30753,418400000017;murguiondo tx2;320;2017-08-24
UTIL;0;caseros tx2;321;2017-08-24
UTIL;0;catan tx2;322;2017-08-24
UTIL;0;chacarita tx2;324;2017-08-24
UTIL;0;torcuato tx2;325;2017-08-24
UTIL;0;florencio tx2;326;2017-08-24
