
##### PATRIMONIO #####

STOCK   CLIENTES  LIQUIDEZ  PROVEEDORs  PATRIMONIO
691897  664682    80040     620217      816401

##### RANKING COMPRA CLIENTES #######

MES      DENOMINACION                                  MONTO
2017-08  chacarita tx2                                 $ 4222
2017-08  cesar                                         $ 4159
2017-08  domingo peron tx2                             $ 4061
2017-08  santos tx2                                    $ 4034
2017-08  peron 3513 tx2                                $ 3968
2017-08  franco tx2                                    $ 3920
2017-08  acoyte tx2                                    $ 3827
2017-08  lafenacional                                  $ 3811
2017-08  cordoba tx2                                   $ 3717
2017-08  alberdi tx2                                   $ 3680
2017-08  lomas tx2                                     $ 3651
2017-08  san luisa tx2                                 $ 3605
2017-08  glew tx2                                      $ 3593
2017-08  libreria stockler                             $ 3443
2017-08  achupallas tx2                                $ 3398
2017-08  adpompeya tx2                                 $ 3273
2017-08  gaona tx2                                     $ 2942
2017-08  juan mansilla tx2                             $ 2930
2017-08  kimi tx2                                      $ 2898
2017-08  pablo alberdi tx2                             $ 2842
2017-08  beiro 4285 tx2                                $ 2812
2017-08  balbin tx2                                    $ 2684
2017-08  liniers tx2                                   $ 2469
2017-08  lynmartin tx2                                 $ 2463
2017-08  marquez tx2                                   $ 2409
2017-08  suarez tx2                                    $ 2298
2017-08  bingocrovara tx2                              $ 2240
2017-08  lalee tx2                                     $ 2089
2017-08  pueyrredon tx2                                $ 1797
2017-08  libreria los primos                           $ 1103
2017-08  rivadavia tx2                                 $ 967
2017-08  mataderos tx2                                 $ 891
2017-08  corrientes 2 tx2                              $ 880
2017-08  urquiza tx2                                   $ 785
2017-08  independencia tx2                             $ 767
2017-08  perfumeria triunvirato                        $ 714
2017-08  libreria thomas                               $ 690
2017-08  katinazca tx2                                 $ 636
2017-08  multiprecio tx2                               $ 502
2017-08  CASA CAMI                                     $ 374
2017-08  luis lavalle tx2                              $ 0
2017-09  la terminal                                   $ 37470
2017-09  lucas castillo tx2                            $ 25964
2017-09  david                                         $ 22777
2017-09  cabildo 3520                                  $ 20576
2017-09  donato tx2                                    $ 20444
2017-09  moreno tx2                                    $ 19840
2017-09  villegas tx2                                  $ 17626
2017-09  vergara tx2                                   $ 17451
2017-09  tapiales sur mer                              $ 14875
2017-09  vareva tx2                                    $ 10547
2017-09  avenida de mayo tx2                           $ 10345
2017-09  san pedro tx2                                 $ 9876
2017-09  adrogue tx2                                   $ 9866
2017-09  congreso coronado tx2                         $ 9334
2017-09  laoeste tx2                                   $ 9254
2017-09  caseros crovara tx2                           $ 9151
2017-09  soler tx2                                     $ 9145
2017-09  olivos tx2                                    $ 9005
2017-09  jhonny grand bourg tx2                        $ 8925
2017-09  merlo tx2                                     $ 8776
2017-09  marcos paz tx2                                $ 8678
2017-09  castillo tx2                                  $ 8359
2017-09  dpalomar                                      $ 8154
2017-09  vicente grande tx2                            $ 8092
2017-09  lujan tx2                                     $ 7973
2017-09  cesar                                         $ 7962
2017-09  hurlingham tx2                                $ 7848
2017-09  moron tx2                                     $ 7598
2017-09  san martin tx2                                $ 7563
2017-09  jose maria moreno tx2                         $ 7332
2017-09  cobo tx2                                      $ 7231
2017-09  mercedes tx2                                  $ 6853
2017-09  franco 5827                                   $ 6765
2017-09  suarez tx2                                    $ 6730
2017-09  florencio tx2                                 $ 6707
2017-09  3 de febrero tx2                              $ 6685
2017-09  peron 3513 tx2                                $ 6685
2017-09  mitre san martin tx2                          $ 6473
2017-09  mosconi tx2                                   $ 6393
2017-09  noi tx2                                       $ 6385
