
##### PATRIMONIO #####

STOCK   CLIENTES  LIQUIDEZ  PROVEEDORs  PATRIMONIO
691897  664682    80040     620217      816401

##### RANKING COMPRA CLIENTES #######

MES      DENOMINACION                                  MONTO
2018-01  albarellos tx2                                $ 8901
2018-01  lynmartin tx2                                 $ 8807
2018-01  ciudadela tx2                                 $ 8628
2018-01  lafeluro tx2                                  $ 8598
2018-01  torcuato tx2                                  $ 8594
2018-01  colon                                         $ 8589
2018-01  franco 5827                                   $ 8367
2018-01  solano tx2                                    $ 8236
2018-01  3 de febrero tx2                              $ 8123
2018-01  mercedes tx2                                  $ 7753
2018-01  arieta tx2                                    $ 7743
2018-01  villegas tx2                                  $ 7696
2018-01  marcos paz tx2                                $ 7598
2018-01  alem grande tx2                               $ 7502
2018-01  CASA CAMI                                     $ 7376
2018-01  laferrere tx2                                 $ 7215
2018-01  no usar -  cliente repetido moron martin tx2  $ 7116
2018-01  peron 3513 tx2                                $ 7086
2018-01  catan tx2                                     $ 6749
2018-01  belgrano tx2                                  $ 6604
2018-01  mitre san martin tx2                          $ 6592
2018-01  lanus tx2                                     $ 6546
2018-01  merlo tx2                                     $ 6344
2018-01  martin triunvirato                            $ 6251
2018-01  derqui eva tx2                                $ 5927
2018-01  varela tx2                                    $ 5726
2018-01  lopez tx2                                     $ 5640
2018-01  san pedro tx2                                 $ 5503
2018-01  yrigoyen paz                                  $ 5463
2018-01  avellaneda tx2                                $ 5351
2018-01  lomas tx2                                     $ 5328
2018-01  san isidro tx2                                $ 5310
2018-01  san martin tx2                                $ 5122
2018-01  hurlingham tx2                                $ 5015
2018-01  castillo tx2                                  $ 4947
2018-01  lin tx2                                       $ 4867
2018-01  wang tx2                                      $ 4625
2018-01  claypole tx2                                  $ 4597
2018-01  diego santa fe                                $ 4352
2018-01  maipu yerbal tx2                              $ 4203
2018-01  avenida de mayo tx2                           $ 4026
2018-01  fernando avellaneda                           $ 3977
2018-01  maipu 24 tx2                                  $ 3752
2018-01  medrano tx2                                   $ 3668
2018-01  linazca tx2                                   $ 3653
2018-01  papelera rolando                              $ 3636
2018-01  lalee tx2                                     $ 3605
2018-01  alsina tx2                                    $ 3548
2018-01  navarro las heras                             $ 3521
2018-01  dpalomar                                      $ 3341
2018-01  merlo libertador                              $ 3339
2018-01  velez sarsfield tx2                           $ 3242
2018-01  mosconi belgrano tx2                          $ 3092
2018-01  cuenca tz2                                    $ 3091
2018-01  lafenacional                                  $ 3070
2018-01  ort tx2                                       $ 3033
2018-01  xeng tx2                                      $ 2636
2018-01  beiro 4285 tx2                                $ 2572
2018-01  luis lavalle tx2                              $ 2572
2018-01  independencia tx2                             $ 2564
2018-01  lujan tx2                                     $ 2466
2018-01  galicia tx2                                   $ 2388
2018-01  los incas tx2                                 $ 2353
2018-01  25 avellaneda tx2                             $ 2321
2018-01  kimi tx2                                      $ 2179
2018-01  soler tx2                                     $ 2146
2018-01  burela tx2                                    $ 2108
2018-01  santa fe tx2                                  $ 2053
2018-01  urquiza tx2                                   $ 2038
2018-01  cordoba tx2                                   $ 1839
2018-01  casares tx2                                   $ 1815
2018-01  alberdi tx2                                   $ 1759
2018-01  suarez tx2                                    $ 1757
2018-01  florida-martin tx2                            $ 1650
2018-01  san jose tx2                                  $ 1518
2018-01  chacarita tx2                                 $ 1463
2018-01  santos tx2                                    $ 1171
2018-01  mosconi tx2                                   $ 715
2018-01  mitre avellaneda tx2                          $ 649
2018-01  caseros crovara tx2                           $ 567
2018-01  lomas rosas                                   $ 525
2018-02  LAS ROCAS                                     $ 54062
2018-02  la terminal                                   $ 25608
2018-02  podesta tx2                                   $ 22488
2018-02  moreno tx2                                    $ 16514
2018-02  lujan tx2                                     $ 12513
2018-02  laoeste tx2                                   $ 12041
2018-02  quilmes tx2                                   $ 11945
2018-02  tapiales tx2                                  $ 11258
2018-02  pablo alberdi tx2                             $ 10664
2018-02  alem vicente tx2                              $ 10376
2018-02  mosconi tx2                                   $ 9057
2018-02  illia tx2                                     $ 8877
2018-02  3638 tx2                                      $ 8637
2018-02  suarez tx2                                    $ 8621
2018-02  achupallas tx2                                $ 8612
2018-02  lanus tx2                                     $ 8445
2018-02  san wilde tx2                                 $ 8318
2018-02  urquiza tx2                                   $ 8207
2018-02  soler tx2                                     $ 8166
2018-02  villegas 1872 tx2                             $ 8114
2018-02  josecpaz tx2                                  $ 8109
2018-02  3 de febrero tx2                              $ 8033
2018-02  martelo tx2                                   $ 7993
2018-02  CASA CAMI                                     $ 7604
2018-02  san justo tx2                                 $ 7514
2018-02  luisa tx2                                     $ 7466
2018-02  diaz velez 4480                               $ 7264
2018-02  rivadavia tx2                                 $ 7248
2018-02  carlos tx2                                    $ 7128
2018-02  cecilia tx2                                   $ 7091
2018-02  rosas tx2                                     $ 6918
2018-02  cabildo 1757                                  $ 6752
2018-02  escobar tx2                                   $ 6480
2018-02  florida-martin tx2                            $ 6397
2018-02  mitrecabildo tx2                              $ 6330
2018-02  san martin tx2                                $ 6321
2018-02  alberdi tx2                                   $ 6251
2018-02  beccar tx2                                    $ 6236
2018-02  jose maria moreno tx2                         $ 6113
2018-02  pilar miguel tx2                              $ 6015
2018-02  castillo tx2                                  $ 5852
2018-02  grand bourg tx2                               $ 5719
2018-02  moron tx2                                     $ 5682
2018-02  kimi tx2                                      $ 5671
2018-02  rivadavia 2379 tx2                            $ 5648
2018-02  congreso coronado tx2                         $ 5520
2018-02  ruta 23 tx2                                   $ 5262
2018-02  san isidro tx2                                $ 5261
2018-02  laferrere tx2                                 $ 5216
2018-02  san fernando tx2                              $ 4925
2018-02  carlos calvo tx2                              $ 4817
2018-02  el fortin tx2                                 $ 4668
2018-02  cesar                                         $ 4662
2018-02  liniers tx2                                   $ 4584
2018-02  hurlingham tx2                                $ 4578
2018-02  san cristobal tx2                             $ 4566
2018-02  casares tx2                                   $ 4302
2018-02  glew tx2                                      $ 4249
2018-02  villegas tx2                                  $ 3990
2018-02  claypole tx2                                  $ 3984
2018-02  big store                                     $ 3681
2018-02  nazca 2968 tx2                                $ 3666
2018-02  franco 5827                                   $ 3621
2018-02  julieta lanus tx2                             $ 3617
2018-02  santos tx2                                    $ 3580
2018-02  yerbal cabildo tx2                            $ 3568
2018-02  santa fe tx2                                  $ 3542
2018-02  gaona tx2                                     $ 3472
2018-02  katinazca tx2                                 $ 3452
2018-02  cordoba 2566                                  $ 3368
2018-02  catan tx2                                     $ 3334
2018-02  martin triunvirato                            $ 3315
2018-02  mitre avellaneda tx2                          $ 3277
2018-02  choy tx2                                      $ 2992
2018-02  san luisa tx2                                 $ 2991
2018-02  diego santa fe                                $ 2944
2018-02  juan cesar                                    $ 2922
2018-02  marquez tx2                                   $ 2879
2018-02  beiro 4285 tx2                                $ 2811
2018-02  papelera rolando                              $ 2765
2018-02  noi tx2                                       $ 2759
2018-02  marcos paz tx2                                $ 2721
2018-02  avellaneda tx2                                $ 2529
2018-02  alsina tx2                                    $ 2523
2018-02  caseros tx2                                   $ 2521
2018-02  dpalomar                                      $ 2435
2018-02  pablo juramento                               $ 2348
2018-02  pueyrredon tx2                                $ 2325
2018-02  cuenca tz2                                    $ 2318
2018-02  fortin ballester tx2                          $ 2079
2018-02  independencia tx2                             $ 2062
2018-02  acoyte tx2                                    $ 2017
2018-02  libreria stockler                             $ 1994
2018-02  belgrano tx2                                  $ 1652
2018-02  san jose tx2                                  $ 1600
2018-02  juan mansilla tx2                             $ 1473
2018-02  chacarita tx2                                 $ 1243
2018-02  navarro las heras                             $ 1241
2018-02  libreria windsor                              $ 1229
2018-02  bingocrovara tx2                              $ 1142
2018-02  lalee tx2                                     $ 1012
2018-02  riva 7579 tx2                                 $ 888
2018-02  linazca tx2                                   $ 541
2018-02  libreria los primos                           $ 447
2018-02  LIONELA                                       $ 395
2018-03  quilmes yrigoyen tx2                          $ 20935
2018-03  ciudadela tx2                                 $ 18931
2018-03  arribeños tx2                                 $ 18501
2018-03  soler tx2                                     $ 17269
2018-03  vergara tx2                                   $ 15021
2018-03  marcos paz tx2                                $ 14973
2018-03  moreno tx2                                    $ 12198
2018-03  multiprecio tx2                               $ 12036
2018-03  veronica tx2                                  $ 11339
2018-03  san moron tx2                                 $ 10878
2018-03  merlo libertador                              $ 10758
2018-03  jhonny grand bourg tx2                        $ 10372
2018-03  lynmartin tx2                                 $ 9804
2018-03  vicente grande tx2                            $ 9499
2018-03  beccar tx2                                    $ 8799
2018-03  josecpaz tx2                                  $ 8782
2018-03  monroe tx2                                    $ 8636
2018-03  cordoba tx2                                   $ 8405
2018-03  luisa tx2                                     $ 8289
2018-03  arieta 3127 tx2                               $ 8246
2018-03  galicia tx2                                   $ 7991
2018-03  beiro 4285 tx2                                $ 7777
2018-03  cesar                                         $ 7768
2018-03  merlo tx2                                     $ 7677
2018-03  san wilde tx2                                 $ 7665
2018-03  3 de febrero tx2                              $ 7664
2018-03  jauretche tx2                                 $ 7613
2018-03  yrigoyen lanus                                $ 7442
2018-03  mercedes tx2                                  $ 7412
2018-03  peron 3513 tx2                                $ 7323
2018-03  los incas tx2                                 $ 6738
2018-03  san martin tx2                                $ 6737
2018-03  cuenca tz2                                    $ 6733
2018-03  cobo tx2                                      $ 6577
2018-03  san jose tx2                                  $ 6499
2018-03  varela calzada tx2                            $ 6496
2018-03  liniers tx2                                   $ 6451
2018-03  merlo moreno                                  $ 6364
2018-03  chacarita tx2                                 $ 6249
2018-03  avenida de mayo tx2                           $ 6016
2018-03  lalee tx2                                     $ 5895
2018-03  rivadavia 18029                               $ 5836
2018-03  balbin tx2                                    $ 5584
2018-03  fernando avellaneda                           $ 5548
2018-03  solano tx2                                    $ 5531
2018-03  suarez tx2                                    $ 5456
2018-03  corrientes 2 tx2                              $ 5262
2018-03  alem grande tx2                               $ 5261
2018-03  laferrere tx2                                 $ 4692
2018-03  mosconi belgrano tx2                          $ 4657
2018-03  forest 581 tx2                                $ 4655
2018-03  moreno nemesio                                $ 4613
2018-03  xeng tx2                                      $ 4573
2018-03  san isidro tx2                                $ 4339
2018-03  constituyentes tx2                            $ 4311
2018-03  25 avellaneda tx2                             $ 4248
2018-03  lafenacional                                  $ 4232
2018-03  yrigoyen paz                                  $ 4181
2018-03  zoe arrecifes                                 $ 4160
2018-03  lopez tx2                                     $ 3978
2018-03  maipu 24 tx2                                  $ 3956
2018-03  avellaneda tx2                                $ 3931
2018-03  maipu yerbal tx2                              $ 3833
2018-03  estrada tx2                                   $ 3753
2018-03  casares tx2                                   $ 3703
2018-03  mitre san martin tx2                          $ 3703
2018-03  rivadavia tx2                                 $ 3542
2018-03  rolon tx2                                     $ 3485
2018-03  riva 7579 tx2                                 $ 3468
2018-03  virreyes tx2                                  $ 3464
2018-03  alsina tx2                                    $ 3379
2018-03  lomas tx2                                     $ 3298
2018-03  medrano tx2                                   $ 2980
2018-03  santos tx2                                    $ 2979
2018-03  centenario uruguayo                           $ 2817
2018-03  acoyte tx2                                    $ 2696
2018-03  moron belgrano tx2                            $ 2599
2018-03  mitre avellaneda tx2                          $ 2595
2018-03  caseros crovara tx2                           $ 2576
2018-03  moron tx2                                     $ 2558
2018-03  santa fe tx2                                  $ 2231
2018-03  carrillo tx2                                  $ 2035
2018-03  ort tx2                                       $ 2020
2018-03  belgrano tx2                                  $ 1916
2018-03  herrera celina tx2                            $ 1878
2018-03  vareva tx2                                    $ 1799
2018-03  kimi tx2                                      $ 1740
2018-03  mosconi tx2                                   $ 1674
2018-03  choy tx2                                      $ 1537
2018-03  gaona tx2                                     $ 1486
2018-03  bazar umi                                     $ 1475
2018-03  3638 tx2                                      $ 1405
2018-03  pto lacroze                                   $ 1291
2018-03  hurlingham tx2                                $ 1146
2018-03  carlos calvo tx2                              $ 748
2018-03  gustavo lomas tx2                             $ 704
2018-03  martin triunvirato                            $ 443
2018-03  pueyrredon tx2                                $ 392
2018-03  lujan tx2                                     $ 272
2018-03  urquiza tx2                                   $ 110
2018-04  silvio serrano                                $ 33894
2018-04  glew tx2                                      $ 19114
2018-04  la terminal                                   $ 17645
2018-04  quilmes yrigoyen tx2                          $ 15640
2018-04  olivos tx2                                    $ 14570
2018-04  calvo santa fe                                $ 14237
2018-04  libreria origami                              $ 14233
2018-04  pacheco tx2                                   $ 14207
2018-04  rodriguez tx2                                 $ 13711
2018-04  escobar tx2                                   $ 13535
2018-04  mitre san martin tx2                          $ 13325
2018-04  san isidro tx2                                $ 12433
2018-04  laoeste tx2                                   $ 12377
2018-04  tapiales tx2                                  $ 11937
2018-04  lanus tx2                                     $ 11761
2018-04  ramos tx2                                     $ 11421
2018-04  navarro las heras                             $ 10796
2018-04  LAS ROCAS                                     $ 10750
2018-04  pilar miguel tx2                              $ 9839
2018-04  castillo tx2                                  $ 8985
2018-04  bingocrovara tx2                              $ 8929
2018-04  san martin tx2                                $ 8642
2018-04  lujan tx2                                     $ 7862
2018-04  laferrere tx2                                 $ 7708
2018-04  yerbal cabildo tx2                            $ 7645
2018-04  vergara tx2                                   $ 7593
2018-04  galicia tx2                                   $ 7414
2018-04  diego santa fe                                $ 6876
2018-04  caseros crovara tx2                           $ 6829
2018-04  marcos paz tx2                                $ 6731
2018-04  CASA CAMI                                     $ 6726
2018-04  mercedes tx2                                  $ 6596
2018-04  soler tx2                                     $ 6445
2018-04  estrada tx2                                   $ 6320
2018-04  jauretche tx2                                 $ 6276
2018-04  caseros tx2                                   $ 6263
2018-04  carrillo tx2                                  $ 6104
2018-04  katinazca tx2                                 $ 6030
2018-04  lynmartin tx2                                 $ 6019
2018-04  alberdi tx2                                   $ 6010
2018-04  kimi tx2                                      $ 5988
2018-04  alsina tx2                                    $ 5871
2018-04  catan tx2                                     $ 5837
2018-04  3 de febrero tx2                              $ 5812
2018-04  eva san juan tx2                              $ 5672
2018-04  gaona tx2                                     $ 5580
2018-04  cesar                                         $ 5266
2018-04  belgrano tx2                                  $ 5146
2018-04  larrea arrecifes                              $ 5139
2018-04  martelo tx2                                   $ 5077
2018-04  lavalle gaona                                 $ 5003
2018-04  escalada tx2                                  $ 4952
2018-04  mosconi tx2                                   $ 4719
2018-04  cordoba 2566                                  $ 4594
2018-04  martin triunvirato                            $ 4488
2018-04  santos tx2                                    $ 4436
2018-04  jose maria moreno tx2                         $ 4435
2018-04  moreno tx2                                    $ 4222
2018-04  crovara 1423 tx2                              $ 4100
2018-04  calzada tx2                                   $ 4053
2018-04  choy tx2                                      $ 3783
2018-04  mitre avellaneda tx2                          $ 3632
2018-04  corrientes 2 tx2                              $ 3584
2018-04  casares tx2                                   $ 3553
2018-04  franco 5827                                   $ 3287
2018-04  rivadavia tx2                                 $ 3255
2018-04  pueyrredon tx2                                $ 3076
2018-04  cabildo 1757                                  $ 3043
2018-04  navarro tx2                                   $ 2878
2018-04  lafeluro tx2                                  $ 2659
2018-04  libreria stockler                             $ 2584
2018-04  mitrecabildo tx2                              $ 2492
2018-04  cuenca tz2                                    $ 2451
2018-04  rawson tx2                                    $ 2407
2018-04  ballester tx2                                 $ 2259
2018-04  suarez tx2                                    $ 1961
2018-04  balbin tx2                                    $ 1806
2018-04  beiro 4285 tx2                                $ 1750
2018-04  independencia tx2                             $ 1636
2018-04  lucas castillo tx2                            $ 1585
2018-04  achupallas tx2                                $ 1573
2018-04  avellaneda tx2                                $ 1323
2018-04  lomas rosas                                   $ 1196
2018-04  podesta tx2                                   $ 1181
2018-04  marquez tx2                                   $ 1177
2018-04  gerardo tx2                                   $ 1099
2018-04  perfumeria triunvirato                        $ 1056
2018-04  ciudadela tx2                                 $ 1005
2018-04  25 avellaneda tx2                             $ 815
2018-04  rivadavia 18029                               $ 778
2018-04  moron tx2                                     $ 706
2018-04  luis lavalle tx2                              $ 450
2018-04  lafenacional                                  $ 443
2018-04  liniers tx2                                   $ 392
2018-04  beccar tx2                                    $ 314
2018-04  julieta lanus tx2                             $ 281
2018-05  moreno tx2                                    $ 28056
2018-05  merlo tx2                                     $ 26253
2018-05  venado tuerto tx2                             $ 25635
2018-05  LAS ROCAS                                     $ 23707
2018-05  NICO LOMAS TX2                                $ 22000
2018-05  rodriguez tx2                                 $ 18538
2018-05  donato tx2                                    $ 17735
2018-05  soler tx2                                     $ 16122
2018-05  san arieta                                    $ 15934
2018-05  san wilde tx2                                 $ 14886
2018-05  la terminal                                   $ 14069
2018-05  laoeste tx2                                   $ 12189
2018-05  luisa tx2                                     $ 12100
2018-05  florida-martin tx2                            $ 12067
2018-05  albarellos tx2                                $ 11898
2018-05  linazca tx2                                   $ 11885
2018-05  marcos paz tx2                                $ 11646
2018-05  lomas yrigoyen                                $ 11583
2018-05  moron tx2                                     $ 11443
2018-05  san moron tx2                                 $ 10967
2018-05  liniers tx2                                   $ 10962
2018-05  moreno nemesio                                $ 10914
2018-05  castillo tx2                                  $ 10869
2018-05  ruta 23 tx2                                   $ 10826
2018-05  banfield tx2                                  $ 10461
2018-05  casares tx2                                   $ 10219
2018-05  mercedes tx2                                  $ 10090
2018-05  san jose tx2                                  $ 10024
2018-05  alberdi tx2                                   $ 9836
2018-05  ciudadela tx2                                 $ 9641
2018-05  virreyes tx2                                  $ 9607
2018-05  beccar tx2                                    $ 9531
2018-05  torcuato tx2                                  $ 8976
2018-05  peron 3513 tx2                                $ 8617
2018-05  lomas tx2                                     $ 8540
2018-05  san luisa tx2                                 $ 8102
2018-05  parana - jazmin house                         $ 8092
2018-05  hurlingham tx2                                $ 7852
2018-05  juan cesar                                    $ 7668
2018-05  yrigoyen paz                                  $ 7435
2018-05  lujan tx2                                     $ 7376
2018-05  claypole tx2                                  $ 7243
2018-05  cuenca tz2                                    $ 7176
2018-05  boedolomas tx2                                $ 7039
2018-05  fernando avellaneda                           $ 6870
2018-05  pilar miguel tx2                              $ 6729
2018-05  los incas tx2                                 $ 6682
2018-05  josecpaz tx2                                  $ 6531
2018-05  avellaneda tx2                                $ 6491
2018-05  cesar                                         $ 6404
2018-05  noi tx2                                       $ 6356
2018-05  cordoba tx2                                   $ 6293
2018-05  nestor tx2                                    $ 6167
2018-05  ort tx2                                       $ 6082
2018-05  beiro 4285 tx2                                $ 5955
2018-05  laferrere tx2                                 $ 5749
2018-05  forest 581 tx2                                $ 5743
2018-05  varela calzada tx2                            $ 5578
2018-05  san fernando tx2                              $ 5533
2018-05  xeng tx2                                      $ 5449
2018-05  maipu yerbal tx2                              $ 5424
2018-05  belgrano tx2                                  $ 5292
2018-05  juan mansilla tx2                             $ 5173
2018-05  lafeluro tx2                                  $ 4496
2018-05  urquiza tx2                                   $ 4484
2018-05  rivadavia tx2                                 $ 4343
2018-05  3 de febrero tx2                              $ 4083
2018-05  dpalomar                                      $ 4078
2018-05  mosconi tx2                                   $ 4009
2018-05  bingocrovara tx2                              $ 3935
2018-05  maipu 24 tx2                                  $ 3683
2018-05  san isidro tx2                                $ 3538
2018-05  pto lacroze                                   $ 3446
2018-05  martin merlo                                  $ 3357
2018-05  pacheco tx2                                   $ 3282
2018-05  avenida de mayo tx2                           $ 3223
2018-05  lafenacional                                  $ 3089
2018-05  podesta tx2                                   $ 3088
2018-05  martin triunvirato                            $ 3062
2018-05  diego santa fe                                $ 3049
2018-05  yerbal cabildo tx2                            $ 3048
2018-05  lalee tx2                                     $ 3044
2018-05  escobar tx2                                   $ 2928
2018-05  lynmartin tx2                                 $ 2879
2018-05  lopez tx2                                     $ 2767
2018-05  gaona tx2                                     $ 1997
2018-05  kimi tx2                                      $ 1962
2018-05  suarez tx2                                    $ 1919
2018-05  franco 5827                                   $ 1869
2018-05  mitre avellaneda tx2                          $ 1487
2018-05  alsina tx2                                    $ 1391
2018-05  big store                                     $ 1278
2018-05  achupallas tx2                                $ 1231
2018-05  independencia tx2                             $ 1135
2018-05  santos tx2                                    $ 1124
2018-05  lomas rosas                                   $ 798
2018-05  chacarita tx2                                 $ 678
2018-05  estrada santa fe tx2                          $ 633
2018-05  CASA CAMI                                     $ 276
2018-06  silvio serrano                                $ 51666
2018-06  lanuperon tx2                                 $ 25145
2018-06  la terminal                                   $ 20034
2018-06  vergara tx2                                   $ 18690
2018-06  murguiondo tx2                                $ 18444
2018-06  moreno tx2                                    $ 17660
2018-06  parque chas tx2                               $ 17130
2018-06  nazca 2968 tx2                                $ 16503
2018-06  asamblea tx2                                  $ 15956
2018-06  rodriguez tx2                                 $ 15019
2018-06  san martin tx2                                $ 14214
2018-06  maipu 62 tx2                                  $ 13340
2018-06  san wilde tx2                                 $ 13253
2018-06  mercedes tx2                                  $ 12920
2018-06  3 de febrero tx2                              $ 12746
2018-06  diaz velez 4480                               $ 12641
2018-06  san justo tx2                                 $ 12232
2018-06  martin 2521 tx2                               $ 11667
2018-06  marcos paz tx2                                $ 11595
2018-06  medrano tx2                                   $ 11550
2018-06  illia tx2                                     $ 10678
2018-06  boedo cordoba tx2                             $ 10581
2018-06  san pedro tx2                                 $ 10177
2018-06  pueyrredon tx2                                $ 9426
2018-06  laferrere tx2                                 $ 9333
2018-06  merlo libertador                              $ 9333
2018-06  lanus tx2                                     $ 8860
2018-06  soler tx2                                     $ 8847
2018-06  torcuato tx2                                  $ 8817
2018-06  caseros tx2                                   $ 8583
2018-06  maipu yerbal tx2                              $ 8526
2018-06  lavalle gaona                                 $ 8455
2018-06  jauretche tx2                                 $ 8326
2018-06  nestor tx2                                    $ 8117
2018-06  lomas tx2                                     $ 8087
2018-06  catan tx2                                     $ 7888
2018-06  cobo tx2                                      $ 7640
2018-06  pasteur tx2                                   $ 7605
2018-06  rivadavia 2379 tx2                            $ 7555
2018-06  alsina tx2                                    $ 7536
2018-06  rivadavia 18029                               $ 7515
2018-06  glew tx2                                      $ 7306
2018-06  martelo tx2                                   $ 7202
2018-06  martin triunvirato                            $ 7178
2018-06  yrigoyen paz                                  $ 7095
2018-06  mitre avellaneda tx2                          $ 6746
2018-06  yrigoyen lanus                                $ 6729
2018-06  navarro las heras                             $ 6678
2018-06  galicia tx2                                   $ 6514
2018-06  rolon tx2                                     $ 6381
2018-06  bingocrovara tx2                              $ 6226
2018-06  olavarria tx2                                 $ 6132
2018-06  crovara 1423 tx2                              $ 5916
2018-06  claypole tx2                                  $ 5892
2018-06  san moron tx2                                 $ 5790
2018-06  caseros crovara tx2                           $ 5667
2018-06  avenida de mayo tx2                           $ 5655
2018-06  entre rios tx2                                $ 5559
2018-06  fernando avellaneda                           $ 5555
2018-06  belgrano tx2                                  $ 5506
2018-06  urquiza tx2                                   $ 5451
2018-06  tapiales tx2                                  $ 5121
2018-06  cesar                                         $ 5086
2018-06  big store                                     $ 4869
2018-06  yerbal cabildo tx2                            $ 4689
2018-06  lopez tx2                                     $ 4430
2018-06  jhonny grand bourg tx2                        $ 4384
2018-06  luisa tx2                                     $ 4255
2018-06  moron tx2                                     $ 4217
2018-06  celina tx2                                    $ 4035
2018-06  arieta 3127 tx2                               $ 3952
2018-06  arribeños tx2                                 $ 3931
2018-06  julieta lanus tx2                             $ 3877
2018-06  suarez tx2                                    $ 3815
2018-06  cabildo 1757                                  $ 3739
2018-06  franco 5827                                   $ 3627
2018-06  velez sarsfield tx2                           $ 3406
2018-06  libreria stockler                             $ 3379
2018-06  lafenacional                                  $ 3240
2018-06  kimi tx2                                      $ 3111
2018-06  gaona tx2                                     $ 3023
2018-06  beccar tx2                                    $ 2837
2018-06  santos tx2                                    $ 2769
2018-06  mitre san martin tx2                          $ 2683
2018-06  corrientes 2 tx2                              $ 2670
2018-06  luis lavalle tx2                              $ 2653
2018-06  herrera celina tx2                            $ 2643
2018-06  maipu 24 tx2                                  $ 2339
2018-06  lynmartin tx2                                 $ 1858
2018-06  independencia tx2                             $ 1851
2018-06  peron 3513 tx2                                $ 1732
2018-06  NICO LOMAS TX2                                $ 1371
2018-06  libreria windsor                              $ 841
2018-06  calvo santa fe                                $ 823
2018-06  lomas rosas                                   $ 796
2018-06  lalee tx2                                     $ 450
2018-06  enrique santamarina tx2                       $ 274
2018-07  silvio serrano                                $ 50803
2018-07  NICO LOMAS TX2                                $ 25336
2018-07  pacheco tx2                                   $ 23870
2018-07  ciudadela tx2                                 $ 23350
2018-07  merlo tx2                                     $ 19749
2018-07  dpalomar                                      $ 18274
2018-07  moreno tx2                                    $ 17943
2018-07  martin merlo                                  $ 17569
2018-07  la terminal                                   $ 15791
2018-07  rodriguez tx2                                 $ 15691
2018-07  soler tx2                                     $ 15251
2018-07  san isidro tx2                                $ 14793
2018-07  tapiales tx2                                  $ 13813
2018-07  san moron tx2                                 $ 13642
2018-07  asamblea tx2                                  $ 13534
2018-07  mitre san martin tx2                          $ 13433
2018-07  lynmartin tx2                                 $ 13263
2018-07  laoeste tx2                                   $ 12956
2018-07  españa tx2                                    $ 12945
2018-07  marcos paz tx2                                $ 12868
2018-07  carrillo tx2                                  $ 12669
2018-07  castillo tx2                                  $ 12343
2018-07  arieta 3127 tx2                               $ 12257
2018-07  lujan tx2                                     $ 11587
2018-07  balbin miguel                                 $ 11172
2018-07  san jose tx2                                  $ 10823
2018-07  juan cesar                                    $ 10739
2018-07  quilmes tx2                                   $ 10737
2018-07  3 de febrero tx2                              $ 10422
2018-07  virreyes tx2                                  $ 10174
2018-07  flores tx2                                    $ 10049
2018-07  cordoba tx2                                   $ 10033
2018-07  peron 3513 tx2                                $ 9938
2018-07  yrigoyen paz                                  $ 9649
2018-07  mercedes tx2                                  $ 9387
2018-07  casares tx2                                   $ 9117
2018-07  rivadavia tx2                                 $ 9093
2018-07  liniers tx2                                   $ 8987
2018-07  carlos calvo tx2                              $ 8964
2018-07  beiro 4285 tx2                                $ 8946
2018-07  hurlingham tx2                                $ 8857
2018-07  banfield tx2                                  $ 8813
2018-07  jose maria moreno tx2                         $ 8699
2018-07  veronica tx2                                  $ 8680
2018-07  estrada tx2                                   $ 8583
2018-07  josecpaz tx2                                  $ 8433
2018-07  belgrano tx2                                  $ 7837
2018-07  santos tx2                                    $ 7571
2018-07  diego santa fe                                $ 7312
2018-07  pilar miguel tx2                              $ 7303
2018-07  alberdi tx2                                   $ 7281
2018-07  lafeluro tx2                                  $ 7202
2018-07  san arieta                                    $ 7131
2018-07  zoe arrecifes                                 $ 6880
2018-07  franco 5827                                   $ 6710
2018-07  martin triunvirato                            $ 6705
2018-07  san wilde tx2                                 $ 6546
2018-07  acoyte tx2                                    $ 6543
2018-07  lanus tx2                                     $ 6156
2018-07  moron tx2                                     $ 5902
2018-07  lalee tx2                                     $ 5724
2018-07  CASA CAMI                                     $ 5629
2018-07  bazar umi                                     $ 5565
2018-07  lanuperon tx2                                 $ 5321
2018-07  xeng tx2                                      $ 5193
2018-07  podesta tx2                                   $ 4873
2018-07  lacroze tx2                                   $ 4806
2018-07  chacarita tx2                                 $ 4777
2018-07  san martin tx2                                $ 4679
2018-07  ruta 23 tx2                                   $ 4672
2018-07  suarez tx2                                    $ 4575
2018-07  cesar                                         $ 4544
2018-07  varela calzada tx2                            $ 4508
2018-07  pto lacroze                                   $ 4306
2018-07  mosconi belgrano tx2                          $ 4183
2018-07  solano tx2                                    $ 4154
2018-07  jauretche tx2                                 $ 3994
2018-07  perfumeria triunvirato                        $ 3971
2018-07  arribeños 2160                                $ 3552
2018-07  pueyrredon tx2                                $ 3214
2018-07  kimi tx2                                      $ 3106
2018-07  lucas castillo tx2                            $ 3081
2018-07  balbin tx2                                    $ 2809
2018-07  lin tx2                                       $ 2797
2018-07  lavalle tx2                                   $ 2738
2018-07  fernando avellaneda                           $ 2700
2018-07  laferrere tx2                                 $ 2578
2018-07  corrientes 2 tx2                              $ 2487
2018-07  maipu 24 tx2                                  $ 2180
2018-07  mitre avellaneda tx2                          $ 2174
2018-07  alsina tx2                                    $ 2105
2018-07  bingocrovara tx2                              $ 2094
2018-07  santa fe tx2                                  $ 1999
2018-07  glew tx2                                      $ 1994
